Leave Blank,Tags,Type,One-liner,Text,Quote author,Lecture Title,Files & media,imageName
,,,,,,,,
,Semio-mimetics,,Simulations based on models of cognition and interpretation.,Semio-mimetics simulate the way different entities understand and relate to the world around them. These models use abstraction to assign logics of signification to different entities and predict their behaviour. Semio-mimetics are based on observation and centre the individual interpretant. An example of the deployment of such models is the creation of ‘agents’ for computational models of behaviour.,,,,
,Hypognostic Synthesis,,Simulations that draw out new legibility from complex systems.,"This type of simulation synthesises networks of forces and actors whose complexity exceeds individual perception. These models rely primarily on quantitative analysis and deploy abstraction, reduction and simplification to make complex systems legible. Examples of Hypognostic Synthesis include climate models and population analysis (as described by Bernard Geoghegan for eugenics and cybernetic theories of kinship).",,,,
,Phantomatics,,Sensorial simulations that artificially instantiate the insensible.,"Phantomatics is a term coined by Stanislaw Lem in his Summa Technologiae to indicate a speculative method connecting an individual's sensorium to artificially induced sensations. The term is useful to describe simulations that centre the viewpoint and perception of the individual human or non-human being. Example of Phantomatics are VR technology and its sensorial counterparts, or NASA’s simulations of off-planet experiences.",,,,
,Simutation,,"Simulations adapted from other media contexts ","Simutations are models which have been translated from one field of knowledge or medium to the other. In an act of forced abstraction, simutations generate productive forms of estrangement from the object of the models and can reveal the affordances and limitations of different means of organising information. An example of simutation is the way – as described by Ranjodh Singh Dhaliwal – computers are modelled after cities.",,,,
,Hypercasting,,"High precision simulations of past, present, and future scenarios.","Hypercasting describes a type of simulation which projects and details likely, future scenarios. Depending on the desirability of each scenario, it’s definition represents an effort to either avoid or move towards it. Hypercasting has the potential to influence behaviour and choices in the present and becomes in turn shaped by these altered conditions. Though speculation is always present, plausibility is the currency of hypercasting. As such, it must be grounded on the highest resolution of analysis and observation. Climate models are an example of hypercasting.",,,,
,Hypognostic Synthesis,quote,,“How is it possible that all of these things came together to enable this – that an infrastructure traversing the globe would enable these self propelling machines?”,Stephanie Sherman,Auto: Fordian Precedents of Planetary Platform Automation,,
,Hypercasting,quote,,"“There's this great irony in that man thought he was designing the world for man, but man actually designed it for machines”",Stephanie Sherman,Auto: Fordian Precedents of Planetary Platform Automation,,
,Hypercasting,text,,"A question about Homo Sapiens which has been posed all along: to what degree does knowing whether it's us, or the system at large, enable the sufficient conditions for the intentional negative structure to come?",Stephanie Sherman,Auto: Fordian Precedents of Planetary Platform Automation,,
,Hypercasting,text,,A platform is a type of system that provides the grounds or basis for future action,Stephanie Sherman,Auto: Fordian Precedents of Planetary Platform Automation,,
,Phantomatics,text,,"Rather than advertising their cars, Ford was inserting a new socio-technical configuration into everyday life through the cinematic matrix",Stephanie Sherman,Auto: Fordian Precedents of Planetary Platform Automation,,
,Semio-mimetics,text,,Simulating the world around you in order to interact and move through it - how do you relate to the world,N. Katherine Hayles,Cellular Cognition: Bacteria Mimesis and Xenobot Creativity,,
,Semio-mimetics,text,,Modelling to create the necessary conditions for understanding behavioral patterns of other beings,N. Katherine Hayles,Cellular Cognition: Bacteria Mimesis and Xenobot Creativity,,
,Phantomatics,text,,Phantomatics center the perception and experience of the individual human or non-human being,Bogna Konior,The Gnostic Machine: Artificial Intelligence in Stanisław Lem’s Summa Technologiae,,
,Semio-mimetics,text,,Cognition: a process that interprets information within a context that is connected with meaning,N. Katherine Hayles,Cellular Cognition: Bacteria Mimesis and Xenobot Creativity,,
,Semio-mimetics,quote,,"“Where there is life, there is cognition”",N. Katherine Hayles,Cellular Cognition: Bacteria Mimesis and Xenobot Creativity,,
,Semio-mimetics,quote,,“Unicellular organisms have cognition – they move towards food they move away from toxins”,N. Katherine Hayles,Cellular Cognition: Bacteria Mimesis and Xenobot Creativity,,
,Semio-mimetics,quote,,"“To have meaning you don't have to have abstract symbols or language such as humans have, but rather biological behavior can be understood as cognition in action”",N. Katherine Hayles,Cellular Cognition: Bacteria Mimesis and Xenobot Creativity,,
,Semio-mimetics,text,,All life forms have their specific umwelten,N. Katherine Hayles,Cellular Cognition: Bacteria Mimesis and Xenobot Creativity,,
,Semio-mimetics,quote,,“Lifeforms perform actions that have meaning to them”,N. Katherine Hayles,Cellular Cognition: Bacteria Mimesis and Xenobot Creativity,,
,Semio-mimetics,text,,"Cognitive Assemblages: collectivities of human, non-human and computational media through which information, interpretations and meanings circulate",N. Katherine Hayles,Cellular Cognition: Bacteria Mimesis and Xenobot Creativity,,
,Hypognostic Synthesis,quote,,"“Cognition is modular, each level builds on its capacities to enable the larger goals of the next level up to emerge. Single cells know local information about environments but network of cells integrate signals across distances, store memories of patterns, and compute large-scale outcomes”",N. Katherine Hayles,Cellular Cognition: Bacteria Mimesis and Xenobot Creativity,,
,Semio-mimetics,text,,Cells and cellular processes are competent problem-solving agents with agendas,N. Katherine Hayles,Cellular Cognition: Bacteria Mimesis and Xenobot Creativity,,
,Semio-mimetics,text,,Cells use their cognitive abilities to arrive at new solutions,N. Katherine Hayles,Cellular Cognition: Bacteria Mimesis and Xenobot Creativity,,
,Simutation,quote,,"“The film, photographs, transcription protocols and tapes that documented tribes in Bali represented a form of novel ethnographic writing intended to be ‘pure, unmediated, objective’ – allowing indigenous cultures to account for themselves”",Bernard Geoghegan,Whither the human?: Computing and indigenous knowledge against the inhuman sciences,,
,Hypognostic Synthesis,quote,,"“There are many ways media can manifest, and it ultimately picks a medium”",Mindy Seu,On the Cyberfeminism Index,,
,Simutation,text,,The Cyberfeminism Index translates content across different mediums > Spreadsheet > Book > AR > Website > Book,Mindy Seu,On the Cyberfeminism Index,,
,Semio-mimetics,quote,,"“The notion that it's legitimate to make an analogy between a computer and human brain, or to think of and language in terms of codes or cultural codes – it's essentially the human scientists making these suggestions to the engineers”",Bernard Geoghegan,Whither the human?: Computing and indigenous knowledge against the inhuman sciences,,
,Simutation,quote,,“Duplication is key to replication”,Mindy Seu,On the Cyberfeminism Index,,
,Simutation,quote,,“The computer simulates a city which has implications in how computational processes fundamentally work”,Ranjodh Singh Dhaliwal,"The Problem of Address: Searching Memories and Finding Subjects in the Age of Computation ",,
,Simutation,text,,"When the machine does not have an internal vocabulary of its own, the translation happens from the external world to the internal world of the machine",Ranjodh Singh Dhaliwal,"The Problem of Address: Searching Memories and Finding Subjects in the Age of Computation ",,
,Simutation,text,,"When the machine does not have an internal vocabulary of its own, it pulls from the external world into its internal world.",Ranjodh Singh Dhaliwal,"The Problem of Address: Searching Memories and Finding Subjects in the Age of Computation ",,
,Hypognostic Synthesis,quote,,"“Addressability emerges as a series of mechanisms by which the link between the symbolic – alphabets, numbers, addresses – and the physical, that is the material location, are stabilized”",Ranjodh Singh Dhaliwal,"The Problem of Address: Searching Memories and Finding Subjects in the Age of Computation ",,
,Hypognostic Synthesis,quote,,"The planetary's architectural imaginary is a partial, modelled, visualised, bordered, fragmented, multi-scalar entity in which images recursively participate in various kinds of material transformations",Jussi Parikka,Operational Images and Planetary Sensing,,
,Simutation,text,,"Reconstructed images are speculative, yet entirely real",Jussi Parikka,Operational Images and Planetary Sensing,,
,Phantomatics,quote,,"Operational imaging enforces an abstraction and alienation through aesthetic constraints, extracting or modifying the sensorium into a form of disembodiment",Jussi Parikka,Operational Images and Planetary Sensing,,
,Simutation,quote,,“What images have become is fleeting components in vastly distributed infrastructures”,Jussi Parikka,Operational Images and Planetary Sensing,,
,Semio-mimetics,text,,Operational images correspond to the list of operations that expand to a different register of epistemic and aesthetic features,Jussi Parikka,Operational Images and Planetary Sensing,https://miro.medium.com/proxy/1*q1uVc-MU-tC-WwFp2yXJow.gif,facial-rec.gif
